BGC,Period,SMR_text,SMR,AET_PET,Pl,Sx,Fd,Bl,Cw,Hw,Lw,Py,Ac,At
BAFAun,1961-1990,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1961-1990,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1961-1990,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1961-1990,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1961-1990,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1971-2000,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1971-2000,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1971-2000,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1971-2000,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1971-2000,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1981-2010,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1981-2010,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1981-2010,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1981-2010,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAun,1981-2010,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAun,2020,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAun,2020,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,2020,submesic,3,0.99982745,L,L,L,L,L,L,L,L,L,L
BAFAun,2020,subxeric,2,0.999148065,L,L,L,L,L,L,L,L,L,L
BAFAun,2020,xeric,1,0.996499755,L,L,L,L,L,L,L,L,L,L
BAFAun,2050,mesic,4,0.999938549,L,L,L,L,L,L,L,L,L,L
BAFAun,2050,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,2050,submesic,3,0.998930957,L,L,L,L,L,L,L,L,L,L
BAFAun,2050,subxeric,2,0.996499983,L,L,L,L,L,L,L,L,L,L
BAFAun,2050,xeric,1,0.989260969,L,L,L,L,L,L,L,L,M,L
BAFAun,2080,mesic,4,0.999301208,L,L,L,L,L,L,L,L,L,L
BAFAun,2080,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAun,2080,submesic,3,0.994646201,L,L,L,L,L,L,L,L,L,L
BAFAun,2080,subxeric,2,0.988157309,L,L,L,L,L,L,L,L,M,L
BAFAun,2080,xeric,1,0.975715917,L,L,L,L,L,L,L,L,M,L
BAFAunp,1961-1990,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1961-1990,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1961-1990,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1961-1990,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1961-1990,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1971-2000,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1971-2000,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1971-2000,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1971-2000,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1971-2000,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1981-2010,mesic,4,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1981-2010,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1981-2010,submesic,3,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1981-2010,subxeric,2,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,1981-2010,xeric,1,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,2020,mesic,4,0.997750915,L,L,L,L,L,L,L,L,L,L
BAFAunp,2020,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,2020,submesic,3,0.983668471,L,L,L,L,L,L,L,L,M,L
BAFAunp,2020,subxeric,2,0.969673093,L,L,L,L,L,L,L,L,M,L
BAFAunp,2020,xeric,1,0.950217541,L,L,L,L,L,L,L,L,M,L
BAFAunp,2050,mesic,4,0.986036872,L,L,L,L,L,L,L,L,M,L
BAFAunp,2050,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,2050,submesic,3,0.95573793,L,L,L,L,L,L,L,L,M,L
BAFAunp,2050,subxeric,2,0.931306738,L,L,L,L,L,L,L,L,H,L
BAFAunp,2050,xeric,1,0.900179945,L,L,L,M,L,L,L,L,H,L
BAFAunp,2080,mesic,4,0.960916443,L,L,L,L,L,L,L,L,M,L
BAFAunp,2080,subhygric,5,1,L,L,L,L,L,L,L,L,L,L
BAFAunp,2080,submesic,3,0.923376801,L,L,L,M,L,L,L,L,H,L
BAFAunp,2080,subxeric,2,0.899187842,L,M,L,M,L,L,L,L,VH,L
BAFAunp,2080,xeric,1,0.864890723,L,M,L,H,L,L,L,L,VH,L
BGxh1,1961-1990,mesic,4,0.683945631,VH,VH,M,VH,VH,VH,H,L,VH,VH
BGxh1,1961-1990,subhygric,5,0.988973543,L,L,L,L,L,L,L,L,M,L
BGxh1,1961-1990,submesic,3,0.637706763,VH,VH,H,VH,VH,VH,VH,M,VH,VH
BGxh1,1961-1990,subxeric,2,0.60638664,VH,VH,H,VH,VH,VH,VH,H,VH,VH
BGxh1,1961-1990,xeric,1,0.561638755,VH,VH,VH,VH,VH,VH,VH,VH,VH,VH
BGxh1,1971-2000,mesic,4,0.692467075,VH,VH,M,VH,VH,VH,H,L,VH,VH
BGxh1,1971-2000,subhygric,5,0.98994084,L,L,L,L,L,L,L,L,M,L
BGxh1,1971-2000,submesic,3,0.648298756,VH,VH,H,VH,VH,VH,VH,M,VH,VH
BGxh1,1971-2000,subxeric,2,0.618579684,VH,VH,H,VH,VH,VH,VH,H,VH,VH
BGxh1,1971-2000,xeric,1,0.575269881,VH,VH,VH,VH,VH,VH,VH,VH,VH,VH
